Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang
40_ang_x_job_011.out,-1.4510808220900835,-1.3946227177584696,1.1388279157362202,4.005936209152612,1.0,1.0,1.0,4.66476151587624
geom_240.out,-3.602714114259161,-3.5458990043499767,1.1397644578458563,3.1040708685861222,-1.234809e-07,-0.5654558,-0.5654565,9.665306702407328
md_056.out,-2.244534878768669,-2.185811708644543,1.144782996275719,4.401367576687614,0.9831468,0.7161953,1.0,5.506164035798426
35_ang_14_14.out,-1.3004375457666684,-1.2364827440271622,1.1586567651789987,3.5164745331368468,1.0,1.0,1.0,4.02119385257662
5_ang_100.out,-2.970045107049674,-2.903429868030649,1.1657763458107182,5.245137096406538,1.0,1.0,1.0,11.180339887498947
geom_81.out,-3.3700831639770126,-3.3021963712464384,1.1691945780786557,5.823297689984088,0.9659222,-0.4488707,0.9969658,9.945476773815772
40_ang_x_job_006.out,-1.265268446070447,-1.1973297625270227,1.1693342853147675,4.000456471004278,1.0,1.0,1.0,4.237924020083418
geom_218.out,-3.1017518171628815,-3.0319597369711246,1.1743352037749002,5.0004335565280735,1.0,-0.5,0.9535736,5.386221833147238
44_ang_x_job_007.out,-2.1110546604013107,-2.040722986796407,1.1757951747876776,4.400551457374405,1.0,1.0,1.0,5.946427498927402
40_ang_xy2_job_014.out,-1.777594915695845,-1.7055117825202437,1.1805465956831058,4.298061689948156,1.0,1.0,1.0,9.38083151964686
49_ang_xy_job_001.out,-1.9686811567122298,-1.8944586431444606,1.1863764400669519,4.90216876083433,1.0,1.0,1.0,5.1000000000000005
40_ang_xy2_job_004.out,-1.8658680282327442,-1.791076573179371,1.1879316546019725,4.002701724947788,1.0,1.0,1.0,6.928203230275509
geom_408.out,-2.101246447624459,-2.026253397725391,1.188483207751786,3.060681065013472,1.430858e-05,0.9970042,0.9970017,7.220645930212338
