Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang,absS12
35_ang_12.out,-0.7721313937139138,-1.0270285400940558,0.5560359272285453,3.503696666665081,1.0,1.0,1.0,3.7,0.01765461
35_ang_32_32.out,-1.6541056270811996,-1.908888729720639,0.5561819588876677,3.5079874940769105,1.0,1.0,1.0,5.721013896155122,0.001007623
md_108.out,-1.6079419148834626,-1.8604538915251134,0.5590981089771656,3.658921473273921,0.9845365,0.4905742,1.0,5.210267353593864,0.002070022
geom_13.out,-1.1625109572637622,-1.4141750264717712,0.5601907466679203,3.001911033075431,1.0,1.0,-0.7375989,5.203002205438702,0.004845616
5_ang_78.out,-2.135216814288755,-2.3826796519704305,0.565636156164996,5.0411017803750005,1.0,1.0,1.0,9.264987857520376,0.0002817478
52_ang_xy_job_003.out,-2.137157267267146,-2.3812885224466336,0.5699919797251225,5.200113001397181,1.0,1.0,1.0,5.9194594347794975,0.0003152918
md_035.out,-1.7118712673827992,-1.9538981975041596,0.5727605136375234,4.131791873590077,0.9846199,0.9227229,1.0,5.541859509309578,0.001147297
52_ang_xy_job_004.out,-2.246615101187398,-2.4878292062802077,0.5738334953064594,5.201725055527253,1.0,1.0,1.0,6.288083968904996,0.0002080049
40_ang_x2_job_001.out,-1.4714166196121148,-1.7094385385791564,0.5780668714686936,4.016843751068741,1.0,1.0,1.0,5.2497618993626745,0.002041925
42_ang_x_job_006.out,-1.6533070208040326,-1.8894789783275254,0.5805345112094297,4.214416415175415,1.0,1.0,1.0,5.4671747731346585,0.001165659
42_ang_xy_job_004.out,-1.4409492056792914,-1.677058972349762,0.5806176495478749,4.202147493044479,1.0,1.0,1.0,5.489990892524322,0.002443982
48_ang_xy_job_000.out,-1.4635455061319742,-1.6993707164164746,0.5809982037697841,4.847826787303771,1.0,1.0,1.0,4.851803788283282,0.001985828
40_ang_xy_job_013.out,-1.5202887856995844,-1.7550007606603248,0.5824893979268949,4.007098382795212,1.0,1.0,1.0,5.628498911788116,0.001946036
geom_343.out,-3.2233499030862123,-3.4567729739147284,0.5842206844215988,6.8980274490243225,0.9659258,0.9999964,0.9970101,7.9912319099896605,3.89858e-07
geom_239.out,-1.7353194437623125,-1.9672708658403084,0.5862037305475085,3.0515538748644104,-3.356131e-05,0.9969988,0.996999,7.8568997881734495,0.001020342
51_ang_xy_job_009.out,-2.252704712093647,-2.484168486978633,0.5868623185906592,5.1035654488406434,1.0,1.0,1.0,8.718371407550839,0.0001934619
52_ang_xy_job_009.out,-2.32953512472485,-2.5601078722316335,0.5880676002619243,5.203485974863391,1.0,1.0,1.0,8.777243302996677,0.0001471149
geom_76.out,-1.9713281352084027,-2.1983242461969583,0.5929306341194792,3.364053930065926,0.2587735,0.9758127,0.9970126,9.76090681511636,0.0006943731
geom_37.out,-1.7805081120250004,-2.006866300775023,0.5938022122413773,4.30177572397725,1.0,1.0,-0.7375989,9.388417968422583,0.0009377613
geom_447.out,-2.6068118650133227,-2.83258914800065,0.5945970045761542,5.074884942312879,1.0,-0.5,0.9535736,9.851348417139253,6.325795e-05
5_ang_46_46.out,-2.2268454186750275,-2.4483854359283197,0.6004266811642753,5.012781727673767,1.0,1.0,1.0,8.204876598706406,0.0002497083
md_103.out,-1.0823936023774074,-1.3037715338232496,0.6006508120491356,3.1499723491770526,0.9962309,-0.1968773,1.0,6.087461973244597,0.006417314
geom_493.out,-2.503896554085337,-2.724747641954875,0.601379904992426,4.46173965193152,0.4999999,0.9970123,0.9970127,8.625208616104889,0.0002440289
48_ang_xy_job_008.out,-2.0931167731387204,-2.3137472097936427,0.6016855246280178,4.825051984103384,1.0,1.0,1.0,7.971198153351853,0.0004000406
md_038.out,-2.9823509504171968,-3.2024713981280386,0.602392494705573,6.129748830879533,0.9922753,-0.009124838,1.0,7.007441949301684,1.942796e-06
geom_10.out,-2.5437559205197857,-2.763099642361979,0.6034708240686126,5.586543859408963,-3.356131e-05,0.9969988,0.996999,9.77840448546694,9.789003e-08
43_ang_x_job_006.out,-1.7323102715377767,-1.9513600040200139,0.6038794732022924,4.314084575028635,1.0,1.0,1.0,5.544366510251645,0.0009401633
geom_148.out,-1.249683144247926,-1.4671203115524871,0.6061258870393026,2.556071334802689,1.0,1.0,-0.7375989,9.856229093816763,0.004075331
md_076.out,-1.170942192799476,-1.386923638783378,0.6081609826993939,3.427394428602579,0.9927771,-0.7520881,1.0,6.788695001828334,0.006985713
48_ang_xy_job_009.out,-2.035724443134907,-2.251474425720511,0.6084851971027218,4.803823715604061,1.0,1.0,1.0,8.546344247688598,0.0004239806
5_ang_58.out,-2.257809776000063,-2.47157669183911,0.6112700031209205,5.002954609618201,1.0,1.0,1.0,7.657675887630659,0.0002435681
geom_333.out,-1.3832988227399443,-1.5942611047704616,0.6152303024242528,2.9855113925255754,1.0,1.0,1.0,9.899494936611664,0.001831585
47_ang_xy_job_008.out,-2.0255790921268315,-2.2358651947093495,0.6161889379223808,4.725578763421471,1.0,1.0,1.0,7.911384202527394,0.0005146273
